127.0.0.1 - - [10/Sep/2019:01:48:52 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,underscore,wp-sanitize,wp-a11y,wp-util,jquery-ui-core,jquery-ui-widget,jquery-ui-mouse,jquery-ui-sort&load%5B%5D=able,jquery-ui-draggable,jquery-ui-droppable,backbone,wp-backbone,wp-ajax-response,jquery-color,wp-lists,postbox,nav-menu,shortc&load%5B%5D=ode,utils,media-models,moxiejs,plupload,wp-plupload&ver=5.2.3 HTTP/1.0" 200 387441 "http://arabic-theropy.local/wp-admin/customize.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:48:52 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://arabic-theropy.local/wp-admin/customize.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:48:52 +0000] "GET /?customize_changeset_uuid=8ca7c831-c215-4d97-b692-bd32b77e2628&customize_theme=twentynineteen&customize_messenger_channel=preview-0 HTTP/1.0" 200 38472 "http://arabic-theropy.local/wp-admin/customize.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:49:02 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://arabic-theropy.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:49:02 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=187eb25be3&1568080144658 HTTP/1.0" 200 1114 "http://arabic-theropy.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:49:02 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 1272 "http://arabic-theropy.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:49:02 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=187eb25be3&1568080144774 HTTP/1.0" 200 572 "http://arabic-theropy.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:49:02 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=187eb25be3&1568080144792 HTTP/1.0" 200 1 "http://arabic-theropy.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:49:03 +0000] "GET /wp-admin/themes.php HTTP/1.0" 200 44233 "http://arabic-theropy.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
127.0.0.1 - - [10/Sep/2019:01:49:03 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils&ver=5.2.3 HTTP/1.0" 200 108792 "http://arabic-theropy.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36"
